validation_layer,ring,truth,base_prob_migrant,uncertainty_prob_migrant_mean,uncertainty_prob_migrant_q10,uncertainty_prob_migrant_q90,class_support,boundary_crosses,indeterminate,operational_call,switch_rate_from_base,top_prob_abs_shift
repeated_stratified_cv,CP17010,resident,0.47419379734196354,0.4733079844696333,0.419725090933064,0.5296469413893036,0.73,TRUE,TRUE,indeterminate,0.27,0.01682301730561675
repeated_stratified_cv,CP17011,migrant,0.7394528823735981,0.7407005605762149,0.6720388302466785,0.8075252462291536,1,FALSE,FALSE,NA,0,0.00124767820261684
repeated_stratified_cv,CP19327,migrant,0.6221704941239907,0.6221537112263434,0.5492161486146825,0.6943219264631079,0.992,FALSE,FALSE,NA,0.008,1.3413364542902428e-4
repeated_stratified_cv,CP19350,migrant,0.6793425167287238,0.6763099741845634,0.5976396983988145,0.7555291602649363,1,FALSE,FALSE,NA,0,0.00303254254416041
repeated_stratified_cv,CP19361,resident,0.4388684949918657,0.441253544512355,0.4004793366670308,0.482975567264422,0.956,FALSE,FALSE,NA,0.044,2.367323303048563e-4
repeated_stratified_cv,CP19923,resident,0.3905004392744893,0.4036878107025638,0.368590239348562,0.4478413206360845,0.994,FALSE,FALSE,NA,0.006,0.01272893426506927
repeated_stratified_cv,04258275,migrant,0.5041063044872648,0.5061854832821241,0.4434866815563171,0.5656144567684385,0.554,TRUE,TRUE,indeterminate,0.4459999999999999,0.03726302889338362
repeated_stratified_cv,CP16529,migrant,0.8110844967869301,0.8088692449271981,0.7695864418939699,0.8435775370907493,1,FALSE,FALSE,NA,0,0.00221525185973192
repeated_stratified_cv,CP16543,resident,0.43388403372716267,0.440373427444774,0.38584902056304055,0.4989478632793963,0.91,FALSE,FALSE,NA,0.09,0.00213752192407701
repeated_stratified_cv,CP16815,migrant,0.8364420737176578,0.8332641041096827,0.7980449664544554,0.8646027763476607,1,FALSE,FALSE,NA,0,0.00317796960797511
repeated_stratified_cv,CP16958,migrant,0.6457703422711927,0.6423271143141758,0.5837746006156305,0.6959780928744631,0.996,FALSE,FALSE,NA,0.004,0.00341744992914427
repeated_stratified_cv,CP19311,migrant,0.5170815239548224,0.5192362808653701,0.4544646968611561,0.5843526976100808,0.642,TRUE,TRUE,indeterminate,0.358,0.02682931293903667
repeated_stratified_cv,CP19312,migrant,0.824896155968854,0.8223112692118572,0.7867095778452169,0.8569869031164284,1,FALSE,FALSE,NA,0,0.00258488675699686
repeated_stratified_cv,CP19346,resident,0.5258439330856162,0.5281401626093539,0.4609667950256744,0.59375915856047,0.706,TRUE,TRUE,indeterminate,0.29400000000000004,0.02083008005923004
repeated_stratified_cv,CP19360,migrant,0.4205512711259116,0.4343846044808768,0.3887060013069487,0.4852971987336108,0.938,FALSE,FALSE,NA,0.062,0.01178539994310556
repeated_stratified_cv,CP19371,resident,0.5343140187728177,0.5297456993385554,0.4598342367934413,0.5916941827590667,0.71,TRUE,TRUE,indeterminate,0.29000000000000004,0.0142089181502748
repeated_stratified_cv,CP19907,resident,0.5340295178135879,0.5329107812075045,0.47347218347758846,0.5942419435814474,0.75,TRUE,TRUE,indeterminate,0.25,0.01342410447657116
repeated_stratified_cv,CP19983,resident,0.6483827906091396,0.6464463678504697,0.5867175291051396,0.705174671187521,0.996,FALSE,FALSE,NA,0.004,0.00188501091958581
repeated_stratified_cv,CP16409,resident,0.4133743116802445,0.4337770866250852,0.41136159133195016,0.4635340930861264,0.994,FALSE,FALSE,NA,0.006,0.02022352446830178
repeated_stratified_cv,CP16470,resident,0.5778500379796552,0.5813225602445877,0.5354504227426775,0.6296940238437947,0.992,FALSE,FALSE,NA,0.008,0.00353323407716554
repeated_stratified_cv,CP16533,migrant,0.7480811122177777,0.7465906465013334,0.7012952529568558,0.7938074327903961,1,FALSE,FALSE,NA,0,0.00149046571644428
repeated_stratified_cv,CP16534,migrant,0.865683173212701,0.8644211539954572,0.8363139845494892,0.89119340545108094,1,FALSE,FALSE,NA,0,0.00126201921724389
repeated_stratified_cv,CP16655,migrant,0.577167668002461,0.5794068660493982,0.5273011195745385,0.6326538629429017,0.98,FALSE,FALSE,NA,0.02000000000000001,0.00278116225233748
repeated_stratified_cv,CP16906,resident,0.5074126001760989,0.5078450250734414,0.46171917256347583,0.5527382195158879,0.576,TRUE,TRUE,indeterminate,0.424,0.02115659062612207
repeated_stratified_cv,CP16953,migrant,0.9599586719860402,0.9586730958708144,0.9479080233523351,0.9682629329338795,1,FALSE,FALSE,NA,0,0.00128557611522583
repeated_stratified_cv,CP16990,migrant,0.6283002234783024,0.6289912794157563,0.5829689801014255,0.6769696915298528,1,FALSE,FALSE,NA,0,6.910559374538883e-4
repeated_stratified_cv,CP19365,migrant,0.7662927163795451,0.7630660177031132,0.7174545431564519,0.8086634534519428,1,FALSE,FALSE,NA,0,0.00322669867643188
repeated_stratified_cv,CP19366,migrant,0.8633697246648635,0.8609748560366255,0.8305540139769836,0.8896135746743461,1,FALSE,FALSE,NA,0,0.00239486862823801
repeated_stratified_cv,CP19921,resident,0.4592830293954476,0.461842749898032,0.4241552712435237,0.5067532009537199,0.874,TRUE,TRUE,indeterminate,0.126,0.00310768736283573
repeated_stratified_cv,CP16446,migrant,0.5509610460440877,0.5524403024061039,0.4564532785066082,0.641423581722522,0.78,TRUE,TRUE,indeterminate,0.21999999999999997,0.02055901413146199
repeated_stratified_cv,CP16461,resident,0.6191341589731714,0.6171906368416755,0.5215086415408002,0.7085889188147123,0.948,FALSE,FALSE,NA,0.05200000000000004,0.00162977637401606
repeated_stratified_cv,CP16536,migrant,0.9250900387912352,0.9205275754777096,0.8856513466199287,0.948755781869133,1,FALSE,FALSE,NA,0,0.00456246331352561
repeated_stratified_cv,CP16628,resident,0.4057285980513541,0.40739291818009055,0.31125863846286306,0.5059602850744762,0.884,TRUE,TRUE,indeterminate,0.116,0.00755895970826736
repeated_stratified_cv,CP16642,migrant,0.2996313563897791,0.3085188551628961,0.2448049864025116,0.3796876260306568,1,FALSE,FALSE,NA,0,0.00888749877311589
repeated_stratified_cv,CP16643,migrant,0.6262479697728178,0.6180817974693331,0.5290488056886409,0.7127381623155808,0.96,FALSE,FALSE,NA,0.04000000000000003,0.00539206866342234
repeated_stratified_cv,CP16652,resident,0.30180326443612276,0.31637350639865197,0.2597940186949726,0.3824117240874791,0.998,FALSE,FALSE,NA,0.002,0.01456424200384443
